"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"idIndexP1",1,452,-0.0000000000000000384114599763581,0.756932379582117,0.138393720230864,0.084371409070671,0.703036803234361,-2.71030138889784,0.991013008077967,3.7013143969758,-0.988848216936389,0.800553946556863,0.0356031042714076
"pwPEBsIndexP1",2,452,0.0000000000000000236573153904074,0.467412570157184,0.025341754606111,-0.001607171123729,0.483124018159676,-1.13808430868973,1.14303836052628,2.28112266921602,0.0128899029978441,-0.503165826089389,0.0219852379445838
"ccIndexP1",3,452,0.0000000000000000145235117565602,2.56139301470542,0.768022291970037,0.306633494412603,3.0273507308317,-6.65263508078854,2.88302764438838,9.53566272517691,-0.831325837570503,-0.0573145618313475,0.120477793053268
"warmGlowIndexP1",4,452,0.000000000000000145099832161779,2,0.176821636679902,0.353447890335848,2.15444368837842,-7.0889401614397,1.62997399630382,8.71891415774352,-1.59395446586513,2.57308716454015,0.0940720868383597
"intentPEBsIndexP1",5,452,-0.0000000000000000537841035228738,0.54313355911272,0.101870155041766,0.0359115336534172,0.525063373159726,-1.57544317213813,1.09134822605718,2.66679139819531,-0.584294255908324,-0.143661706636251,0.0255468536688396
"idIndexP2",6,405,0.0000662737535820321,0.763122581273218,0.162668718687124,0.086140646701486,0.726312939451664,-2.60862678016773,0.997633600614591,3.60626038078232,-0.945924236852833,0.517169499195793,0.0379198659309338
"pwPEBsIndexP2",7,405,0.000308075988884665,0.454471189185936,0.0636855193409013,0.00696503693718479,0.446922022808468,-1.1863987784733,1.17882258364528,2.36522136211857,-0.185817038683837,-0.436098522083955,0.0225828549518871
"ccIndexP2",8,405,0.0060854611263815,2.59810493670149,0.708792683199812,0.344687606826282,3.07539388992906,-6.73709587444539,2.78311744370774,9.52021331815313,-0.90983134886409,0.117166364692557,0.129100872247607
"warmGlowIndexP2",9,405,0.00262840470149163,2.00177151338748,0.303181491675172,0.362097170262579,2.0277303677821,-6.53524548722036,1.67086688745428,8.20611237467463,-1.47907670212187,1.94068199444348,0.0994688262079342
"intentPEBsIndexP2",10,405,-0.000539299510300374,0.527367603848142,0.0619409566837679,0.0280808572843906,0.559140039098921,-1.52534722602361,1.13028846215922,2.65563568818283,-0.490765028169988,-0.181062934104716,0.0262051069185695
